Company Name,Market Cap (crores),Share Price (rupees),Golden Cross Date
UNO MINDA LIMITED,70704.5228544,1226.0,2025-10-13
NEWGEN SOFTWARE TECH LTD,12388.9762304,880.6,2025-09-15
NEWGEN SOFTWARE TECH LTD,12388.9762304,880.6,2025-09-30
NEWGEN SOFTWARE TECH LTD,12388.9762304,880.6,2025-10-07
SHYAM METALICS AND ENGY L,25794.5550848,927.1,2025-08-19
SHYAM METALICS AND ENGY L,25794.5550848,927.1,2025-10-20
EIH LIMITED,24376.6935552,389.8,2025-08-04
EIH LIMITED,24376.6935552,389.8,2025-09-17
AMBER ENTERPRISES (I) LTD,28996.1181184,8245.5,2025-07-28
AMBER ENTERPRISES (I) LTD,28996.1181184,8245.5,2025-08-12
AMBER ENTERPRISES (I) LTD,28996.1181184,8245.5,2025-10-16
ERIS LIFESCIENCES LIMITED,21739.68384,1585.5,2025-08-08
ERIS LIFESCIENCES LIMITED,21739.68384,1585.5,2025-09-10
BHEL,81689.2084224,234.6,2025-10-16
GLAND PHARMA LIMITED,31926.4980992,1922.5,2025-08-08
GLAND PHARMA LIMITED,31926.4980992,1922.5,2025-10-06
GRAPHITE INDIA LTD,10872.651776,556.5,2025-07-29
GRAPHITE INDIA LTD,10872.651776,556.5,2025-08-28
GRAPHITE INDIA LTD,10872.651776,556.5,2025-10-17
GUJARAT GAS LIMITED,28943.3616384,417.35,2025-09-26
MOTILAL OSWAL FIN LTD,61627.2625664,1026.25,2025-07-28
MOTILAL OSWAL FIN LTD,61627.2625664,1026.25,2025-08-29
MOTILAL OSWAL FIN LTD,61627.2625664,1026.25,2025-10-03
HERO MOTOCORP LIMITED,112968.3091456,5646.5,2025-07-31
SUN PHARMACEUTICAL IND L,405607.5730944,1690.5,2025-08-05
INDUS TOWERS LIMITED,95015.9736832,360.3,2025-09-03
INDUS TOWERS LIMITED,95015.9736832,360.3,2025-10-03
ELGI EQUIPMENTS LTD,15011.6204544,475.5,2025-08-07
ELGI EQUIPMENTS LTD,15011.6204544,475.5,2025-10-13
NHPC LTD,87170.8164096,86.35,2025-07-25
NHPC LTD,87170.8164096,86.35,2025-10-14
CASTROL INDIA LIMITED,19827.9479296,200.46,2025-08-01
CASTROL INDIA LIMITED,19827.9479296,200.46,2025-09-30
CASTROL INDIA LIMITED,19827.9479296,200.46,2025-10-14
M&M FIN. SERVICES LTD,41716.498432,300.25,2025-07-25
M&M FIN. SERVICES LTD,41716.498432,300.25,2025-10-07
TORRENT POWER LTD,66474.9539328,1319.2,2025-08-20
TORRENT POWER LTD,66474.9539328,1319.2,2025-09-26
TATA CONSUMER PRODUCT LTD,116231.569408,1174.6,2025-10-14
APOLLO HOSPITALS ENTER. L,115200.2686976,8012.0,2025-08-07
APOLLO HOSPITALS ENTER. L,115200.2686976,8012.0,2025-09-24
JUBILANT FOODWORKS LTD,38966.5652736,590.7,2025-09-18
INTERGLOBE AVIATION LTD,228590.0136448,5913.0,2025-07-25
INTERGLOBE AVIATION LTD,228590.0136448,5913.0,2025-09-02
INTERGLOBE AVIATION LTD,228590.0136448,5913.0,2025-09-26
BIOCON LIMITED.,48858.4380416,366.1,2025-08-06
BIOCON LIMITED.,48858.4380416,366.1,2025-09-26
SKF INDIA LTD,11077.070848,2240.6,2025-07-30
SKF INDIA LTD,11077.070848,2240.6,2025-09-29
SKF INDIA LTD,11077.070848,2240.6,2025-10-15
SBI LIFE INSURANCE CO LTD,184838.455296,1841.0,2025-08-29
SBI LIFE INSURANCE CO LTD,184838.455296,1841.0,2025-09-30
ORACLE FIN SERV SOFT LTD.,76350.0167168,8620.5,2025-09-01
ORACLE FIN SERV SOFT LTD.,76350.0167168,8620.5,2025-10-01
ORACLE FIN SERV SOFT LTD.,76350.0167168,8620.5,2025-10-20
CHEMPLAST SANMAR LIMITED,6210.543616,392.8,2025-08-01
CHEMPLAST SANMAR LIMITED,6210.543616,392.8,2025-09-03
CHEMPLAST SANMAR LIMITED,6210.543616,392.8,2025-09-25
LAURUS LABS LIMITED,49874.4229888,923.9,2025-08-11
LAURUS LABS LIMITED,49874.4229888,923.9,2025-09-30
HONASA CONSUMER LIMITED,9090.8319744,279.4,2025-09-26
INDIAN ENERGY EXC LTD,12373.7243648,139.14,2025-07-24
INDIAN ENERGY EXC LTD,12373.7243648,139.14,2025-09-29
ZYDUS LIFESCIENCES LTD,100573.085696,999.5,2025-08-07
ZYDUS LIFESCIENCES LTD,100573.085696,999.5,2025-09-29
LATENT VIEW ANALYTICS LTD,8933.4325248,432.4,2025-07-28
LATENT VIEW ANALYTICS LTD,8933.4325248,432.4,2025-09-17
NARAYANA HRUDAYALAYA LTD.,36155.8310912,1780.2,2025-07-31
WHIRLPOOL OF INDIA LTD,17730.338816,1397.5,2025-08-01
WHIRLPOOL OF INDIA LTD,17730.338816,1397.5,2025-09-24
ADITYA BIRLA REAL EST LTD,18164.678656,1643.2,2025-09-29
